3	0	0	5	0	0
4	0	0	#5.5	0	0
5	0.01	0	6	0	0
6	0.03	0.03	#6.5	0	0
7	0.13	0.02	7	0	0
8	0.78	0.49	#7.5	0.01	0
9	3.27	0.42	8	0.01	0
10	2.57	0.84	#8.5	0.01	0
11	12.55	0.95	9	0.02	0
12	20.94	1.55	#9.5	0.04	0.01
13	28.1	0.52	10	0.07	0.02
14	36.47	0.66	#10.5	0.15	0.07
15	37.6	0.08	11	0.27	0
16	34.12	0.49	#11.5	0.61	0
17	24.72	0.06	12	1.14	0
18	19.12	0.02	#12.5	2.26	0
19	11.65	0		13	4.66	0.02
20	6.19	0		#13.5	10.7	0.06
21	3.86	0.01	14	18.69	0.02
22	1.23	0		#14.5	37.6	0.08
23	0.35	0
24	0.09	0.02
25	0.02	0
26	0	0
