#taille pattern tempBf tempH	permut/2	tBF	tH
3	0	0	5	0	0
4	0.01	0	#5.5	0	0
5	0.03	0.02	6	0	0
6	0.12	0.09	#6.5	0	0
7	0.43	0.25	7	0	0
8	1.36	0.22	#7.5	0	0.01
9	3.37	0.39	8	0.01	0
10	7.26	0.72	#8.5	0.01	0
11	14.04	0.08	9	0.02	0
12	22.45	0.57	#9.5	0.03	0.01
13	30.62	0.6	10	0.07	0
14	40.16	0.2	#10.5	0.15	0
15	37.09	0.1	11	0.31	0.09
16	35.58	0.01	#11.5	0.66	0
17	29.71	0.06	12	1.36	0.01
18	20.6	0	#12.5	2.45	0
19	12.61	0.26	13	5.14	0.01
20	6.77	0.02	#13.5	9.56	0.06
21	3.18	0.01	14	18.58	7.3
22	1.15	0.02	#14.5	40.16	0.02
23	0.38	0.01
24	0.11	0
25	0.02	0.01
26	0	0
